iter	Accuracy	Logloss
0	0.7748058671	0.6765890837
1	0.7848720161	0.6623137734
2	0.7855910267	0.6472317529
3	0.7916307161	0.6340342564
4	0.7920621225	0.6217629074
5	0.7916307161	0.6094127059
6	0.7955133736	0.5989396559
7	0.7965199885	0.5889721954
8	0.7965199885	0.5777898596
9	0.7965199885	0.5683420668
10	0.7960885821	0.5592697183
11	0.7969513949	0.5517603403
12	0.7978142077	0.5447424734
13	0.7968075928	0.5385857342
14	0.7975266034	0.5319417669
15	0.7996836353	0.5260847441
16	0.7986770204	0.5207016786
17	0.7983894162	0.5149040584
18	0.798245614	0.5098057885
19	0.7991084268	0.5061005666
20	0.7992522289	0.502035102
21	0.7998274374	0.4976436252
22	0.8001150417	0.4930100791
23	0.7991084268	0.4889725956
24	0.801553063	0.4849094131
25	0.8014092609	0.4819209549
26	0.8021282715	0.4794880448
27	0.8011216566	0.4767199942
28	0.8018406672	0.4728976522
29	0.8024158758	0.4699586962
30	0.8025596779	0.4680259338
31	0.8031348864	0.4651910378
32	0.8024158758	0.4624483352
33	0.8028472821	0.4605839279
34	0.8031348864	0.4586079125
35	0.8028472821	0.4557209865
36	0.8037100949	0.453521474
37	0.8034224907	0.4520306504
38	0.8032786885	0.45026279
39	0.8037100949	0.4486591294
40	0.803853897	0.447108517
41	0.8042853034	0.4459328573
42	0.8032786885	0.4443039893
43	0.8029910843	0.4430560073
44	0.8039976992	0.4416742991
45	0.8045729077	0.439657067
46	0.8050043141	0.4374601174
47	0.8058671268	0.43547694
48	0.8068737417	0.4337369202
49	0.8074489502	0.4328036809
50	0.8088869715	0.4304426367
51	0.8088869715	0.4298098161
52	0.8090307737	0.428829813
53	0.8096059822	0.4275046286
54	0.8096059822	0.4258396696
55	0.8103249928	0.4245678844
56	0.8100373886	0.4239089435
57	0.8096059822	0.4231743449
58	0.8106125971	0.4221343073
59	0.8106125971	0.4213869294
60	0.8104687949	0.42073501
61	0.8110440035	0.4200543373
62	0.8121944205	0.4193504933
63	0.812769629	0.4187502177
64	0.8124820247	0.418085835
65	0.8129134311	0.416576018
66	0.812769629	0.4159337182
67	0.8124820247	0.4144916595
68	0.8129134311	0.412936799
69	0.8124820247	0.4114038107
70	0.8130572332	0.4106858884
