iter	Passed	Remaining
0	87	87346
1	167	83408
2	247	82143
3	328	81771
4	410	81647
5	489	81040
6	567	80521
7	647	80260
8	726	79960
9	807	79958
10	885	79618
11	964	79414
12	1043	79206
13	1122	79083
14	1217	79941
15	1305	80302
16	1388	80282
17	1469	80189
18	1558	80449
19	1638	80267
20	1717	80062
21	1796	79845
22	1874	79641
23	1953	79447
24	2033	79316
25	2116	79299
26	2200	79290
27	2277	79078
28	2356	78898
29	2435	78751
30	2512	78548
31	2591	78394
32	2671	78273
33	2749	78131
34	2829	78002
35	2907	77863
36	2987	77750
37	3024	76559
38	3101	76419
39	3177	76269
40	3255	76153
41	3333	76037
42	3412	75945
43	3497	75995
44	3583	76042
45	3662	75957
46	3744	75916
47	3829	75959
48	3909	75870
49	3987	75771
50	4073	75795
51	4154	75747
52	4235	75679
53	4315	75598
54	4393	75494
55	4472	75396
56	4549	75270
57	4628	75178
58	4708	75096
59	4785	74975
60	4863	74872
61	4942	74772
62	5021	74678
63	5098	74566
64	5176	74458
65	5253	74344
66	5331	74237
67	5409	74143
68	5515	74419
69	5605	74467
70	5693	74501
