iter	Accuracy	MultiClass
0	0.695952381	1.917611258
1	0.7517261905	1.680213449
2	0.7839880952	1.511652716
3	0.801547619	1.378276251
4	0.8185714286	1.266793852
5	0.8363690476	1.172110654
6	0.8487202381	1.09066662
7	0.8558630952	1.019465797
8	0.8625297619	0.9590234956
9	0.8681845238	0.9036567034
10	0.8745535714	0.850890997
11	0.8828869048	0.8029400925
12	0.8878869048	0.7607367234
13	0.8926190476	0.7243287295
14	0.8966666667	0.6898000953
15	0.9005059524	0.6574271647
16	0.9042261905	0.6280955287
17	0.9078571429	0.6013323684
18	0.9108928571	0.5752338518
19	0.9137797619	0.5525916109
20	0.9175	0.5301776414
21	0.919702381	0.5110085914
22	0.9225892857	0.4922546387
23	0.9251785714	0.472478754
24	0.9273511905	0.4546803502
25	0.9299107143	0.4397024391
26	0.9308928571	0.4274828811
27	0.9326190476	0.4133424886
28	0.9341666667	0.4019398426
29	0.9362797619	0.3886151414
30	0.937827381	0.377530721
31	0.9389583333	0.3661449323
32	0.9408333333	0.3563782901
33	0.9417559524	0.3455024937
34	0.9433928571	0.3353914969
35	0.944375	0.3260066732
36	0.9455952381	0.3176410493
37	0.9463392857	0.3091599528
38	0.9475892857	0.3015590704
39	0.948422619	0.2948118955
40	0.9496130952	0.287673863
41	0.9507142857	0.2811951846
42	0.9515178571	0.2737553188
43	0.9524404762	0.2674646287
44	0.9529464286	0.262745652
45	0.954047619	0.257252081
46	0.9545535714	0.2517004395
47	0.9551785714	0.2465987723
48	0.9560119048	0.2413255383
49	0.9566964286	0.2362065052
50	0.9571130952	0.2321551659
51	0.9579761905	0.227461141
52	0.9585416667	0.223202224
53	0.9596130952	0.2192296055
54	0.9604166667	0.215463562
55	0.9609821429	0.2117150879
56	0.961547619	0.2081564767
57	0.9619940476	0.2049805559
58	0.9626488095	0.2015395682
59	0.963125	0.1976723081
60	0.963422619	0.1945717948
61	0.9641666667	0.1912581235
62	0.9647619048	0.1883503505
63	0.9651190476	0.1856975592
64	0.9658035714	0.1823949905
65	0.9663095238	0.1797155762
66	0.9669940476	0.1770969791
67	0.9676488095	0.1744145857
68	0.9676785714	0.1726014782
69	0.9681845238	0.1701292637
70	0.9686309524	0.1677612159
71	0.969047619	0.1655778867
72	0.9689583333	0.1640919567
73	0.9694047619	0.1619328235
74	0.9701785714	0.1596817017
75	0.9706845238	0.1571942575
76	0.9711904762	0.1547424026
77	0.971577381	0.1521064831
78	0.972172619	0.150314302
79	0.9724702381	0.1477890596
80	0.9728571429	0.1458289156
81	0.9728869048	0.144939023
82	0.9732440476	0.143084368
83	0.9737797619	0.1414287603
84	0.974047619	0.1394957188
85	0.9744047619	0.137947068
86	0.9748214286	0.1364222354
87	0.974702381	0.1352521915
88	0.9752083333	0.1334963408
89	0.9757142857	0.1318516759
90	0.975952381	0.1304403541
91	0.97625	0.1294239153
92	0.9762797619	0.1285155959
93	0.9767857143	0.1274968175
94	0.976547619	0.1265420387
95	0.9767261905	0.1254681832
96	0.977172619	0.1243360392
97	0.9770535714	0.1237045143
98	0.9774702381	0.1224836513
99	0.9773809524	0.1218190584
100	0.9774702381	0.1214834013
101	0.9775595238	0.1209802391
102	0.9776488095	0.1204247248
103	0.977827381	0.1192968532
104	0.9780357143	0.1189351981
105	0.9780357143	0.1183344014
106	0.9783928571	0.1171817235
107	0.9783630952	0.1169534229
108	0.9784821429	0.1161767796
109	0.9785416667	0.1156744094
110	0.9785714286	0.1150732713
111	0.9787797619	0.1141356187
112	0.9787797619	0.1133174497
113	0.9788095238	0.1126503935
114	0.979047619	0.1119877697
115	0.9791071429	0.1117123776
116	0.9793452381	0.1108296422
117	0.9794345238	0.1104625884
118	0.9796428571	0.1098688325
