iter	Passed	Remaining
0	377	188480
1	568	141571
2	757	125559
3	945	117287
4	1136	112493
5	1326	109200
6	1512	106494
7	1701	104627
8	1886	102899
9	2072	101553
10	2263	100618
11	2451	99680
12	2644	99051
13	2829	98241
14	3022	97732
15	3211	97136
16	3397	96542
17	3584	95974
18	3769	95436
19	3957	94977
20	4144	94531
21	4323	93947
22	4509	93525
23	4698	93185
24	4886	92834
25	5071	92459
26	5253	92037
27	5442	91746
28	5611	91140
29	5797	90834
30	5968	90298
31	6152	89976
32	6324	89505
33	6515	89294
34	6703	89062
35	6887	88774
36	7070	88472
37	7248	88131
38	7429	87822
39	7614	87562
40	7793	87245
41	7973	86948
42	8161	86744
43	8346	86504
44	8529	86247
45	8714	86008
46	8894	85724
47	9080	85510
48	9258	85213
49	9443	84995
50	9607	84586
51	9785	84307
52	9949	83916
53	10120	83587
54	10296	83307
55	10472	83034
56	10660	82849
57	10812	82396
58	10985	82110
59	11140	81693
60	11285	81215
61	11463	80985
62	11615	80568
63	11783	80273
64	11945	79943
65	12122	79712
66	12269	79294
67	12425	78939
68	12565	78488
69	12729	78196
70	12881	77834
71	13013	77355
72	13117	76728
73	13267	76375
74	13438	76151
75	13613	75950
76	13771	75653
77	13945	75448
78	14088	75081
79	14260	74869
80	14423	74612
81	14545	74148
82	14722	73968
83	14877	73679
84	15053	73498
85	15202	73184
86	15358	72909
87	15472	72440
88	15644	72245
89	15770	71842
90	15946	71671
91	16066	71252
92	16209	70939
93	16367	70693
94	16481	70261
95	16636	70012
96	16780	69715
97	16905	69347
98	17024	68958
99	17134	68538
100	17243	68119
101	17350	67699
102	17465	67319
103	17630	67130
104	17728	66693
105	17831	66280
106	17954	65943
107	18063	65562
108	18188	65246
109	18306	64906
110	18407	64509
111	18558	64291
112	18674	63956
113	18787	63613
114	18896	63262
115	18995	62881
116	19160	62723
117	19272	62389
118	19384	62062
119	19498	61746
120	19612	61432
121	19723	61110
122	19833	60789
123	19934	60446
124	20047	60143
125	20165	59857
126	20269	59530
127	20381	59233
128	20485	58914
129	20624	58700
130	20732	58400
131	20837	58091
132	20932	57762
133	21031	57444
134	21146	57174
135	21280	56956
136	21425	56770
137	21569	56579
138	21674	56290
139	21781	56008
140	21874	55694
141	21986	55429
142	22082	55130
143	22196	54873
144	22315	54635
145	22414	54348
146	22516	54071
147	22618	53794
148	22717	53515
149	22824	53257
150	22933	53006
151	23045	52761
152	23153	52512
153	23274	52291
154	23374	52027
155	23483	51783
156	23583	51522
157	23692	51284
158	23796	51034
159	23891	50770
160	24003	50541
161	24099	50282
162	24197	50028
163	24291	49768
164	24409	49558
165	24521	49337
166	24636	49124
167	24742	48896
168	24838	48647
169	24933	48399
170	25069	48234
171	25166	47992
172	25261	47747
173	25383	47557
174	25478	47317
175	25598	47124
176	25700	46899
177	25815	46700
178	25926	46494
179	26028	46272
180	26126	46045
181	26227	45825
182	26348	45641
183	26465	45451
184	26568	45239
185	26669	45023
186	26763	44796
187	26859	44574
188	26954	44352
189	27062	44154
190	27182	43975
191	27289	43776
192	27395	43577
193	27520	43409
194	27619	43200
195	27717	42991
196	27827	42801
197	27929	42599
198	28059	42441
199	28173	42260
200	28267	42049
201	28388	41880
202	28490	41682
203	28606	41507
204	28714	41320
205	28822	41135
