iter	Accuracy	Logloss
0	0.8370786517	0.6727406362
1	0.8370786517	0.655009409
2	0.8384831461	0.636336123
3	0.8384831461	0.6190308132
4	0.8412921348	0.6012410367
5	0.8497191011	0.5843982911
6	0.8539325843	0.5703308877
7	0.8539325843	0.5592681799
8	0.8469101124	0.5485815841
9	0.845505618	0.5368249015
10	0.8469101124	0.5250428446
11	0.8497191011	0.5148337718
12	0.856741573	0.5049872238
13	0.8609550562	0.4939068569
14	0.8609550562	0.4855386113
15	0.8553370787	0.4770910713
16	0.8525280899	0.4713460515
17	0.8553370787	0.4639973587
18	0.8525280899	0.4587470065
19	0.8511235955	0.4532343832
20	0.8511235955	0.4464802688
21	0.8511235955	0.4404713491
22	0.8511235955	0.4357625125
23	0.8511235955	0.4320815869
24	0.8511235955	0.4270569448
25	0.8497191011	0.4218674563
26	0.8497191011	0.4195180314
27	0.8497191011	0.4173226946
28	0.8511235955	0.4140234958
29	0.8511235955	0.4100902
30	0.8525280899	0.4062692878
31	0.8525280899	0.4031982422
32	0.8525280899	0.3997895744
33	0.8511235955	0.3972923193
34	0.8511235955	0.3939103544
35	0.8511235955	0.3919270548
36	0.8511235955	0.3891996748
37	0.8511235955	0.387671267
38	0.8511235955	0.3862453846
39	0.8511235955	0.3831849688
40	0.8511235955	0.3798614673
41	0.8511235955	0.3783573622
42	0.8525280899	0.376547867
43	0.8525280899	0.3751828483
44	0.8525280899	0.3739467149
45	0.8525280899	0.3725212183
46	0.8539325843	0.3705971536
47	0.8525280899	0.3694338852
48	0.8553370787	0.3668084305
49	0.8553370787	0.3653226702
50	0.8539325843	0.3621499565
51	0.8553370787	0.3609202096
52	0.8553370787	0.3597735716
53	0.856741573	0.3585723277
54	0.8595505618	0.3567629825
55	0.8595505618	0.3551979065
56	0.8609550562	0.3543767822
57	0.8609550562	0.3531628298
58	0.8637640449	0.3505636065
59	0.8637640449	0.348176549
60	0.8665730337	0.3467974288
61	0.8665730337	0.3460971104
62	0.8665730337	0.3455569235
63	0.8651685393	0.3441682451
64	0.8665730337	0.3433550074
65	0.8651685393	0.342707559
66	0.8651685393	0.3418189488
67	0.8679775281	0.3405234733
68	0.8665730337	0.3395895369
69	0.8721910112	0.3376185385
70	0.8721910112	0.336984913
71	0.8735955056	0.3354494331
72	0.8820224719	0.3333425629
73	0.8820224719	0.3323332326
74	0.8806179775	0.330280304
75	0.8834269663	0.3289827497
76	0.8848314607	0.3274031436
77	0.8890449438	0.3244123566
78	0.8904494382	0.322380966
79	0.8918539326	0.32174284
80	0.8904494382	0.3216645316
81	0.8918539326	0.3210686244
82	0.8918539326	0.3208295844
83	0.8918539326	0.3195442671
84	0.8904494382	0.318542309
85	0.8918539326	0.3164612416
86	0.893258427	0.316135878
87	0.893258427	0.316057098
88	0.893258427	0.3146032055
89	0.8918539326	0.314448153
90	0.8918539326	0.3142109989
91	0.8918539326	0.3132401799
92	0.8918539326	0.3122822837
93	0.893258427	0.3115286023
94	0.893258427	0.3113244303
95	0.8946629213	0.3105923085
96	0.8946629213	0.3102849896
97	0.8960674157	0.3086565425
98	0.8946629213	0.3080798374
99	0.8946629213	0.3079409224
100	0.8960674157	0.3073270991
101	0.8960674157	0.3054943513
102	0.8974719101	0.3035317753
103	0.8974719101	0.3027575204
104	0.8974719101	0.3020819546
105	0.8974719101	0.3014725246
106	0.8988764045	0.3009103282
107	0.9002808989	0.2990856814
108	0.9002808989	0.298601622
109	0.9030898876	0.2979212343
110	0.9016853933	0.2978468477
111	0.9016853933	0.2977623457
112	0.9030898876	0.2965342061
113	0.904494382	0.2959714311
114	0.904494382	0.2958431458
115	0.904494382	0.2955043664
116	0.9073033708	0.2949369195
117	0.9087078652	0.294705616
118	0.9087078652	0.2946092198
119	0.9073033708	0.2944048764
120	0.9087078652	0.2936917423
121	0.9115168539	0.2931160659
122	0.9115168539	0.2915161861
123	0.9087078652	0.2906374128
124	0.9101123596	0.2900745949
125	0.9087078652	0.2893101339
126	0.9101123596	0.288762339
127	0.9115168539	0.2875109898
128	0.9115168539	0.286841789
129	0.9115168539	0.2859901685
130	0.9115168539	0.2857700305
131	0.9115168539	0.2857135173
132	0.9129213483	0.2853346407
133	0.9129213483	0.2848319364
134	0.9129213483	0.2847425482
135	0.9143258427	0.2839059294
136	0.9143258427	0.2834439653
137	0.9143258427	0.2828407716
138	0.9143258427	0.2823131433
139	0.9157303371	0.2814847968
140	0.9157303371	0.2803595897
141	0.9157303371	0.2802161956
142	0.9157303371	0.2796533349
143	0.9143258427	0.2793247137
144	0.9157303371	0.2783213198
145	0.9143258427	0.2776811578
146	0.9157303371	0.2773792824
147	0.9171348315	0.2763731881
