iter	Passed	Remaining
0	37	37272
1	62	31332
2	102	33918
3	136	34073
4	209	41660
5	281	46717
6	312	44262
7	335	41580
8	360	39711
9	388	38495
10	452	40721
11	487	40124
12	515	39128
13	580	40891
14	649	42661
15	713	43878
16	736	42560
17	763	41666
18	787	40643
19	814	39911
20	855	39875
21	927	41223
22	1002	42583
23	1024	41681
24	1053	41075
25	1081	40500
26	1108	39949
27	1159	40234
28	1186	39718
29	1252	40512
30	1321	41313
31	1372	41510
32	1399	41014
33	1445	41081
34	1512	41694
35	1540	41241
36	1580	41142
37	1604	40626
38	1635	40309
39	1711	41083
40	1786	41788
41	1813	41366
42	1841	40981
43	1864	40500
44	1886	40030
45	1922	39877
46	1987	40290
47	2010	39865
48	2073	40246
49	2097	39857
50	2167	40340
51	2194	40004
52	2225	39766
53	2258	39561
54	2324	39941
55	2387	40254
56	2432	40239
57	2494	40521
58	2559	40820
59	2624	41117
60	2650	40803
61	2677	40508
62	2707	40268
63	2771	40526
64	2793	40184
65	2818	39890
66	2881	40127
67	2949	40422
68	2980	40211
69	3044	40448
70	3086	40382
71	3150	40605
72	3216	40842
73	3280	41051
74	3345	41263
75	3410	41469
76	3474	41643
77	3537	41820
78	3603	42009
79	3628	41724
80	3648	41393
81	3712	41560
82	3735	41269
83	3783	41260
84	3854	41493
85	3919	41659
86	3983	41799
87	4004	41498
88	4067	41635
89	4092	41381
90	4132	41281
91	4172	41180
92	4235	41311
93	4300	41450
94	4364	41575
95	4429	41708
96	4469	41603
97	4532	41719
98	4596	41833
99	4623	41609
100	4651	41404
101	4715	41516
102	4785	41677
103	4849	41780
104	4891	41697
105	4920	41497
106	4982	41583
107	5050	41712
108	5114	41807
109	5181	41921
110	5208	41718
111	5243	41573
112	5308	41669
113	5333	41452
114	5357	41233
115	5382	41017
116	5424	40942
117	5465	40854
118	5496	40693
119	5517	40462
120	5545	40284
121	5608	40359
122	5670	40433
123	5733	40504
124	5796	40574
125	5859	40646
126	5923	40718
127	5988	40794
128	6052	40868
129	6116	40933
130	6141	40740
131	6163	40526
132	6226	40587
133	6288	40642
134	6320	40498
135	6384	40559
136	6407	40362
137	6471	40421
138	6530	40450
139	6597	40525
140	6664	40601
141	6688	40414
142	6752	40470
143	6816	40521
144	6885	40599
145	6948	40643
146	6987	40549
147	7050	40589
